,id,Group,time-point,HPRT1,MX1,IRF7,OAS1,MX1 Ct ratio,IRF7 Ct ratio,OAS1 Ct ratio,MX1 Ct log,IRF7 Ct log,OAS1 Ct log,delta MX1,delta HPRT1,delta-delta MX1,Fold Change MX1,delta IRF7,delta-delta IRF7,Fold Change IRF7,delta OAS1,delta-delta OAS1,Fold Change OAS1
34,6,DMSO + HIV,Bleed 9-22,32.1042169993337,29.1030880106396,,30.1504369638543,0.9065191657296489,,0.9391425732164734,0.09814310645182543,,0.06278797613835202,-0.5779119939854418,0.42345170214013805,-1.0013636961255798,2.001891378013432,,,,-0.7679804181002368,-1.1914321202403748,2.2837933602899647
35,7,rapamycin + HIV,Bleed 9-22,34.4514801801653,30.933616148846,31.0211786015221,32.0005519798294,0.8978893210706043,0.9004309376344846,0.9288585515769229,0.10770846875407075,0.10488181066147674,0.07379881055856088,1.2526161442209585,2.7707148829717347,-1.5180987387507763,2.864133498385135,1.7900628607102753,-0.9806520222614594,1.973357061059238,1.082134597874866,-1.6885802850968687,3.223393426390161
36,8,spermidine + HIV,Bleed 9-22,33.050567569906,29.835118591892,29.5543509671895,30.9603914499163,0.9027112326826784,0.8942161403031408,0.9367582382490491,0.10235256332719983,0.11180776535282673,0.06533004684575829,0.15411858726696082,1.3698022727124375,-1.2156836854454767,2.3225081921998174,0.3232352263776761,-1.0465670463347614,2.065608791880839,0.04197406796176395,-1.3278282047506735,2.5102450463114123
37,9,DMSO + HIV,Bleed 9-22,33.2270665531014,29.9012991536206,29.5513983942875,31.007545616326,0.8999078840087863,0.8893772896581261,0.9332014177890695,0.10546287199740627,0.11723373568384869,0.06913421955925939,0.22029914899555791,1.5463012559078386,-1.3260021069122807,2.5070697022040704,0.32028265347567597,-1.2260186024321627,2.3392054901476165,0.08912823437146145,-1.4571730215363772,2.7456981326673353
38,10,rapamycin + HIV,Bleed 9-22,32.6133494933375,30.268084091424,29.4880269582969,31.1052635819279,0.9280887906839311,0.9041704521739152,0.9537586315162849,0.07462787115663393,0.10073738307416867,0.047344646341816614,0.58708408679896,0.9325841961439387,-0.34550010934497877,1.2705913559156667,0.25691121748507584,-0.6756729786588629,1.59734171614931,0.18684619997336327,-0.7457379961705755,1.6768318164709197
39,11,spermidine + HIV,Bleed 9-22,31.5683829979016,28.4560655769892,28.2503628341375,29.1631980820137,0.9014102996305107,0.8948941995545145,0.9238103226241339,0.1037947425311494,0.11104978048321593,0.07924850695828702,-1.2249344276358407,-0.11238229929196208,-1.1125521283438786,2.16227816302054,-0.9807529066743221,-0.86837060738236,1.8255998869269692,-1.755219299940837,-1.6428370006488748,3.12279312939577
40,12,DMSO + HIV,Bleed 9-22,30.5694901579592,27.9613878031725,27.4597334733148,28.4686175656856,0.9146828311067646,0.898272536814464,0.9312755109287746,0.0891779064678091,0.10728176361278077,0.07120011537765193,-1.7196122014525415,-1.1112751392343618,-0.6083370622181796,1.5245009635765046,-1.7713822674970245,-0.6601071282626627,1.5801999581504436,-2.4497998162689356,-1.3385246770345738,2.528925745372571
41,13,rapamycin + HIV,Bleed 9-22,32.3793617747864,29.4915691419691,28.9002537112211,29.7563875527453,0.9108137877175205,0.8925516788204745,0.9189924050917027,0.09341680687735471,0.11367086356437486,0.08447742097865989,-0.18943086265593934,0.6985964775928402,-0.8880273402487795,1.850643926956595,-0.33086202959072253,-1.0294585071835627,2.04125795365467,-1.1620298292092386,-1.8606263068020787,3.631652862390343
42,16,rapamycin + HIV,Bleed 9-22,32.3704342849961,29.6030457240629,29.060650928567,30.3654143612599,0.9145087601677342,0.8977528899585012,0.9380601475382263,0.08936823200875979,0.10786042676834284,0.06394120885663393,-0.07795428056214249,0.6896689878025377,-0.7676232683646802,1.7024627925374958,-0.17046481224482335,-0.8601338000473611,1.8152066507663847,-0.5530030206946357,-1.2426720084971734,2.366363998044543
43,17,DMSO + HIV,Bleed 9-22,32.98178439629,29.9174573592202,29.3628862696094,30.7221185505846,0.9070903199096014,0.8902758539926761,0.9314874593031545,0.09751325288813678,0.11622391597362719,0.0709725519370193,0.23645735459516004,1.3010190990964396,-1.0645617445012796,2.0915344260238804,0.13177052879757767,-1.169248570298862,2.24894529801162,-0.19629883136993698,-1.4973179304663766,2.8231737684316154
44,18,spermidine + HIV,Bleed 9-22,32.6858497636813,29.552124216023,29.2100362722026,29.9451511846359,0.9041259269587564,0.893659993036472,0.9161503036065867,0.10078662855812988,0.11242989713727858,0.08757484086203679,-0.1288757886020413,1.0050844664877339,-1.1339602550897752,2.1946034150371694,-0.02107946860922283,-1.0261639350969567,2.03660180778742,-0.9732661973186367,-1.9783506638063706,3.9404234209280813
45,19,DMSO + HIV,Bleed 9-22,32.6459705127246,29.5983963823771,29.1005998795374,30.210574943385,0.9066477705369601,0.8913994414163516,0.9253998110305729,0.09800124989691636,0.11496264510623465,0.07752940671222724,-0.08260362224794093,0.9652052155310393,-1.0478088377789803,2.0673875181516226,-0.13051586127442505,-1.0957210768054644,2.1371987475292196,-0.7078424385695357,-1.673047654100575,3.188875237134543
